Timestamp_NY,total_num_bikes_available,Origin
2021-06-16 04:13:35.464331-04:00,23369.0,3
2021-06-16 04:14:06.475929-04:00,23369.0,3
2021-06-16 04:14:36.757722-04:00,23374.0,3
2021-06-16 04:15:07.355721-04:00,23375.0,3
2021-06-16 04:15:38.062859-04:00,23376.0,3
2021-06-16 04:16:08.177516-04:00,23378.0,3
2021-06-16 04:16:38.672461-04:00,23370.0,3
2021-06-16 04:17:09.059667-04:00,23370.0,3
2021-06-16 04:17:39.969496-04:00,23374.0,3
2021-06-16 04:18:09.970171-04:00,23374.0,3
2021-06-16 04:18:40.965473-04:00,23383.0,3
2021-06-16 04:19:11.873477-04:00,23381.0,3
2021-06-16 04:19:41.971600-04:00,23385.0,3
2021-06-16 04:20:12.864348-04:00,23394.0,3
2021-06-16 04:20:43.559970-04:00,23395.0,3
2021-06-16 04:21:13.657492-04:00,23393.0,3
2021-06-16 04:21:43.754720-04:00,23393.0,3
2021-06-16 04:22:14.668547-04:00,23393.0,3
2021-06-16 04:22:45.472750-04:00,23401.0,3
2021-06-16 04:23:16.461474-04:00,23401.0,3
2021-06-16 04:23:47.065129-04:00,23406.0,3
2021-06-16 04:24:17.950571-04:00,23412.0,3
2021-06-16 04:24:48.572935-04:00,23411.0,3
2021-06-16 04:25:19.261473-04:00,23410.0,3
2021-06-16 04:25:50.175722-04:00,23414.0,3
2021-06-16 04:26:20.268485-04:00,23418.0,3
2021-06-16 04:26:51.268759-04:00,23418.0,3
2021-06-16 04:27:22.161515-04:00,23416.0,3
2021-06-16 04:27:53.153472-04:00,23420.0,3
2021-06-16 04:28:23.954147-04:00,23425.0,3
2021-06-16 04:28:54.753497-04:00,23427.0,3
2021-06-16 04:29:25.357475-04:00,23434.0,3
2021-06-16 04:29:56.257474-04:00,23438.0,3
2021-06-16 04:30:26.266775-04:00,23438.0,3
2021-06-16 04:30:57.169495-04:00,23434.0,3
2021-06-16 04:31:27.577516-04:00,23435.0,3
2021-06-16 04:31:57.964704-04:00,23433.0,3
2021-06-16 04:32:28.562624-04:00,23430.0,3
2021-06-16 04:32:58.765157-04:00,23436.0,3
2021-06-16 04:33:29.179977-04:00,23435.0,3
2021-06-16 04:33:59.856025-04:00,23434.0,3
2021-06-16 04:34:29.952841-04:00,23431.0,3
2021-06-16 04:35:00.760105-04:00,23433.0,3
2021-06-16 04:35:30.859862-04:00,23426.0,3
2021-06-16 04:36:01.657481-04:00,23423.0,3
2021-06-16 04:36:32.453513-04:00,23416.0,3
2021-06-16 04:37:03.072174-04:00,23416.0,3
2021-06-16 04:37:33.853483-04:00,23420.0,3
2021-06-16 04:38:04.663055-04:00,23425.0,3
2021-06-16 04:38:34.665893-04:00,23422.0,3
2021-06-16 04:39:05.577933-04:00,23430.0,3
2021-06-16 04:39:36.162469-04:00,23432.0,3
2021-06-16 04:40:07.065471-04:00,23425.0,3
2021-06-16 04:40:37.862014-04:00,23426.0,3
2021-06-16 04:41:08.677481-04:00,23417.0,3
2021-06-16 04:41:39.479502-04:00,23417.0,3
2021-06-16 04:42:10.065492-04:00,23418.0,3
2021-06-16 04:42:40.869480-04:00,23420.0,3
2021-06-16 04:43:11.265475-04:00,23421.0,3
2021-06-16 04:43:41.761494-04:00,23429.0,3
2021-06-16 04:44:12.360809-04:00,23424.0,3
2021-06-16 04:44:42.754475-04:00,23431.0,3
2021-06-16 04:45:12.771138-04:00,23430.0,3
2021-06-16 04:45:43.653506-04:00,23433.0,3
2021-06-16 04:46:14.402720-04:00,23435.0,3
2021-06-16 04:46:45.268862-04:00,23441.0,3
2021-06-16 04:47:16.153484-04:00,23440.0,3
2021-06-16 04:47:46.169477-04:00,23436.0,3
2021-06-16 04:48:17.052481-04:00,23440.0,3
2021-06-16 04:48:47.774749-04:00,23439.0,3
2021-06-16 04:49:18.657475-04:00,23437.0,3
