Timestamp_NY,wind_kph,feelslike_temp_c,condition,Forecast,Origin
2021-07-29 05:32:53.986723-04:00,18.0,11.23,Clouds,Current,3
2021-07-29 06:32:54.258707-04:00,16.956,11.51,Clouds,Current,3
2021-07-29 07:32:54.608042-04:00,15.084,12.07,Clouds,Current,3
2021-07-29 08:32:54.866714-04:00,8.388,12.02,Clouds,Current,3
2021-07-29 09:32:55.214712-04:00,7.0920000000000005,9.86,Clouds,Current,3
2021-07-29 10:32:55.575385-04:00,7.056,11.3,Clouds,Current,3
2021-07-29 11:32:55.858020-04:00,8.46,0.59,Clouds,Current,3
2021-07-29 12:32:56.142761-04:00,7.02,0.15,Clouds,Current,3
2021-07-29 13:32:56.498774-04:00,5.22,0.23,Clouds,Current,3
2021-07-29 14:32:56.839792-04:00,3.96,1.27,Clouds,Current,3
2021-07-29 15:32:57.130719-04:00,1.7280000000000002,0.94,Clouds,Current,3
2021-07-29 16:32:57.425830-04:00,2.628,0.66,Clouds,Current,3
2021-07-29 17:32:57.718718-04:00,4.644,0.29,Clouds,Current,3
2021-07-29 18:32:57.997270-04:00,5.436,-1.69,Clouds,Current,3
2021-07-29 19:32:58.253580-04:00,6.66,-2.4,Clouds,Current,3
2021-07-29 20:32:58.570704-04:00,5.148,0.57,Clear,Current,3
2021-07-29 21:32:58.931424-04:00,1.368,4.85,Clear,Current,3
2021-07-29 22:32:59.266708-04:00,9.36,7.71,Clear,Current,3
2021-07-29 23:32:59.529855-04:00,11.952,11.11,Clear,Current,3
2021-07-30 00:32:59.849464-04:00,14.472000000000001,10.5,Clear,Current,3
2021-07-30 01:33:00.144729-04:00,17.208000000000002,11.11,Clear,Current,3
2021-07-30 02:33:00.482780-04:00,14.652,11.13,Clouds,Current,3
2021-07-30 03:33:00.762216-04:00,14.904000000000002,11.67,Clouds,Current,3
2021-07-30 04:33:01.035523-04:00,16.884,10.98,Clouds,Current,3
2021-07-30 05:33:01.328603-04:00,16.668,10.4,Clouds,Current,3
2021-07-30 06:33:01.770733-04:00,14.724,7.76,Clouds,Current,3
2021-07-30 07:33:02.107153-04:00,15.552,7.66,Clouds,Current,3
2021-07-30 08:33:02.429835-04:00,13.14,10.11,Clouds,Current,3
2021-07-30 09:33:02.801341-04:00,9.54,4.85,Clouds,Current,3
2021-07-30 10:33:03.029841-04:00,7.7040000000000015,4.4,Clouds,Current,3
2021-07-30 11:33:03.548281-04:00,7.956,3.79,Clouds,Current,3
2021-07-30 12:33:03.782717-04:00,6.66,2.68,Clouds,Current,3
2021-07-30 13:33:04.129919-04:00,4.86,0.9,Clouds,Current,3
2021-07-30 14:33:04.450722-04:00,4.0680000000000005,0.53,Clear,Current,3
2021-07-30 15:33:04.729848-04:00,5.796,-1.67,Clear,Current,3
2021-07-30 16:33:05.029843-04:00,7.38,-2.3,Clouds,Current,3
2021-07-30 17:33:05.271219-04:00,8.496,-2.67,Clouds,Current,3
2021-07-30 18:33:05.503048-04:00,9.504,-3.18,Clouds,Current,3
2021-07-30 19:33:05.730740-04:00,9.612,-3.44,Clouds,Current,3
