Timestamp_NY,total_num_bikes_available,Origin
2021-08-17 11:50:00-04:00,18583.08823529412,1
2021-08-17 11:55:00-04:00,18621.20588235294,1
2021-08-17 12:00:00-04:00,18647.910447761195,1
2021-08-17 12:05:00-04:00,18615.074626865677,1
2021-08-17 12:10:00-04:00,18549.941176470587,1
2021-08-17 12:15:00-04:00,18537.98529411765,1
2021-08-17 12:20:00-04:00,18541.220588235294,1
2021-08-17 12:25:00-04:00,18542.53731343284,1
2021-08-17 12:30:00-04:00,18579.50769230769,1
2021-08-17 12:35:00-04:00,18662.602941176472,1
2021-08-17 12:40:00-04:00,18602.63235294117,1
2021-08-17 12:45:00-04:00,18537.264705882357,1
2021-08-17 12:50:00-04:00,18517.764705882357,1
2021-08-17 12:55:00-04:00,18607.514705882357,1
2021-08-17 13:00:00-04:00,18611.602941176472,1
2021-08-17 13:05:00-04:00,18601.25,1
2021-08-17 13:10:00-04:00,18567.70149253732,1
2021-08-17 13:15:00-04:00,18562.23529411765,1
2021-08-17 13:20:00-04:00,18545.884057971016,1
2021-08-17 13:25:00-04:00,18508.529411764706,1
2021-08-17 13:30:00-04:00,18546.463768115944,1
2021-08-17 13:35:00-04:00,18534.45588235294,1
2021-08-17 13:40:00-04:00,18481.63235294117,1
2021-08-17 13:45:00-04:00,18468.855072463768,1
2021-08-17 13:50:00-04:00,18485.666666666668,1
2021-08-17 13:55:00-04:00,18464.102941176472,1
2021-08-17 14:00:00-04:00,18498.573529411766,1
2021-08-17 14:05:00-04:00,18522.927536231884,1
2021-08-17 14:10:00-04:00,18477.602941176472,1
2021-08-17 14:15:00-04:00,18414.6231884058,1
2021-08-17 14:20:00-04:00,18389.942028985508,1
2021-08-17 14:25:00-04:00,18426.2,1
2021-08-17 14:30:00-04:00,18397.869565217392,1
2021-08-17 14:35:00-04:00,18329.565217391304,1
2021-08-17 14:40:00-04:00,18297.579710144928,1
2021-08-17 14:45:00-04:00,18295.9,1
2021-08-17 14:50:00-04:00,18294.681159420288,1
2021-08-17 14:55:00-04:00,18326.594202898552,1
2021-08-17 15:00:00-04:00,18311.414285714287,1
2021-08-17 15:05:00-04:00,18306.970588235294,1
2021-08-17 15:10:00-04:00,18291.514285714286,1
2021-08-17 15:15:00-04:00,18233.376811594204,1
2021-08-17 15:20:00-04:00,18203.260869565216,1
2021-08-17 15:25:00-04:00,18149.434782608696,1
2021-08-17 15:30:00-04:00,18169.67142857143,1
